user_id,bundle_id,bundle_name,total_games,owned_games,missing_games,ownership_ratio,missing_game_ids
-404PageNotFound-,696,Awesomenauts - Mega Value Pack,68,1,67,0.014705882352941176,"['204303', '399836', '251081', '230880', '251080', '319821', '256501', '333150', '204319', '256500', '425544', '204314', '230888', '387983', '230883', '387981', '204317', '230892', '387984', '286671', '230887', '333170', '425542', '387980', '204307', '204312', '399831', '387982', '256510', '256507', '230885', '351461', '443390', '425540', '351460', '256504', '204304', '230889', '204305', '376371', '319820', '230882', '204318', '204310', '256505', '333160', '399834', '230891', '306890', '376370', '410100', '230884', '497620', '256503', '327530', '256502', '204306', '230890', '204315', '204309', '204311', '286670', '376373', '399833', '256506', '376372', '204308']"
-404PageNotFound-,704,Borderlands Triple Pack,7,1,6,0.14285714285714285,"['8990', '261640', '65920', '40940', '8980', '50110']"
-404PageNotFound-,869,SpeedRunners Deluxe Pack,3,1,2,0.3333333333333333,"['317480', '317490']"
-AnimeIsMyThing-,1271,New World Collection,2,1,1,0.5,['447820']
-AnimeIsMyThing-,1355,Enter The Gungeon Collector's Edition,4,1,3,0.25,"['457841', '457842', '457840']"
-AnimeIsMyThing-,1379,Guns of Icarus Online + Alliance Collector's Edition Bundle,3,1,2,0.3333333333333333,"['252590', '217810,217811']"
-AnimeIsMyThing-,1390,M2H Bundle,3,1,2,0.3333333333333333,"['423810', '343440']"
-AnimeIsMyThing-,262,Devolver Digital + XSplit Streamer Pack,3,1,2,0.3333333333333333,"['274190', '450530']"
-AnimeIsMyThing-,264,More Spore,3,1,2,0.3333333333333333,"['17440', '24720']"
-AnimeIsMyThing-,364,Eidos Anthology,88,1,87,0.011363636363636364,"['216416', '225020', '35135', '28000', '265191', '6850', '208792', '208799', '225320', '224920', '208812', '35136', '35130', '208797', '8170', '208809', '8000', '216421', '216414', '216411', '242960', '238010', '211740', '208813', '203140', '208790', '208795', '7000', '216412', '208808', '208791', '35101', '208800', '35138', '28010', '224960', '208793', '216413', '216415', '208806', '216420', '6870', '265192', '208811', '35091', '35089', '28011', '318871', '208817', '208807', '35102', '289690', '208818', '6880', '318872', '258180', '35080', '216418', '208796', '28012', '211600', '8140', '208814', '6980', '6900', '239160', '203160', '6910', '35137', '224940', '208810', '224300', '247430', '6860', '216417', '225000', '225300', '224980', '216419', '35090', '208798', '35083', '259900', '265193', '8080', '318870', '6920']"
-AnimeIsMyThing-,533,Rebellion Anthology,35,1,34,0.02857142857142857,"['397350', '63398', '3720', '305181', '305185', '305184', '210561', '301640', '247910', '305186', '3730', '227100', '63399', '7020', '305187', '254820', '305180', '3710', '254880', '312740', '222021', '326431', '254840', '238090', '404040', '312690', '254920', '326430', '254860', '305183', '305182', '312680', '3700', '281940']"
-AnimeIsMyThing-,536,"Borderlands ""Take Over Your Life Bundle""",8,2,6,0.25,"['8990', '261640', '65920', '40940', '330830', '50110']"
-AnimeIsMyThing-,574,Sakura Bundle,9,2,7,0.2222222222222222,"['402180', '517000', '377680', '375200', '421700', '407980', '407330']"
-AnimeIsMyThing-,612,The Elder Scrolls V: Skyrim + Add-Ons,4,1,3,0.25,"['211720', '220760', '226880']"
-AnimeIsMyThing-,649,The Binding of Isaac : Rebirth + Afterbirth Bundle,2,1,1,0.5,['401920']
-AnimeIsMyThing-,655,Headup Games Complete,32,1,31,0.03125,"['319850', '250460', '303260', '369180', '391080', '293600', '46400', '406940', '251430', '338320', '405050', '419080', '433840', '46570', '336030', '46450', '277510', '261720', '46540', '46440', '279990', '378490', '363940', '284040', '310850', '363960', '265120', '305500', '388420', '400770', '315320']"
-AnimeIsMyThing-,665,Valve Complete Pack,19,3,16,0.15789473684210525,"['620', '300', '420', '400', '280,360', '40', '60', '500', '130', '220', '70', '20', '30', '380,320', '10,80', '50']"
-AnimeIsMyThing-,667,Left 4 Dead Bundle,2,1,1,0.5,['500']
-AnimeIsMyThing-,676,Counter-Strike Complete,3,2,1,0.6666666666666666,"['10,80']"
-AnimeIsMyThing-,682,Source Multiplayer Pack,3,1,2,0.3333333333333333,"['300', '320']"
-AnimeIsMyThing-,704,Borderlands Triple Pack,7,2,5,0.2857142857142857,"['8990', '261640', '65920', '40940', '50110']"
-AnimeIsMyThing-,893,The Escapists: Complete Pack,5,1,4,0.2,"['408730', '349350', '349310', '376700']"
-Azsael-,1225,Risen Franchise Pack,9,2,7,0.2222222222222222,"['40300', '249270', '40392', '249250', '249290', '40393', '40391']"
-Azsael-,1340,BioWare Bundle,4,2,2,0.5,"['47810', '7110']"
-Azsael-,145,Talisman - 3 Game Bundle,3,1,2,0.3333333333333333,"['358460', '258200']"
-Azsael-,272,Fatshark Bundle,10,1,9,0.1,"['453280', '42140', '42180', '437070', '42120', '373540', '204734', '42170,204731,204732', '336420']"
-Azsael-,364,Eidos Anthology,88,3,85,0.03409090909090909,"['216416', '225020', '35135', '28000', '265191', '6850', '208792', '208799', '225320', '224920', '208812', '35136', '208797', '8170', '208809', '8000', '216421', '8190', '216414', '216411', '242960', '238010', '211740', '208813', '203140', '208790', '208795', '216412', '208808', '208791', '35101', '208800', '35138', '28010', '224960', '208793', '216413', '216415', '208806', '216420', '6870', '265192', '208811', '35091', '35089', '28011', '318871', '208817', '208807', '35102', '289690', '208818', '6880', '318872', '258180', '35080', '216418', '208796', '28012', '211600', '8140', '208814', '6980', '6900', '239160', '6910', '35137', '224940', '208810', '224300', '247430', '6860', '216417', '225000', '225300', '224980', '216419', '35090', '208798', '35083', '259900', '265193', '8080', '318870', '6920']"
-Azsael-,376,Sid Meier's Civilization V: Complete,16,1,15,0.0625,"['16863', '235580', '16866', '99611', '99610', '99614', '16870', '16862', '99612', '235584', '235585', '16867', '16860', '16861', '16868']"
-Azsael-,462,Assassin's Creed Bundle,4,2,2,0.5,"['368500', '311560']"
-Azsael-,482,Telltale Collection,48,2,46,0.041666666666666664,"['94500', '31260', '201830', '8200', '8260', '250320', '456630', '31290', '207620', '429570', '31250', '94530', '31220', '94620', '8300', '31280', '31230', '8270', '8380', '8210', '8220', '330840', '8360', '31210', '8230', '8290', '8250', '8330', '8370', '31200', '94520', '234710', '8240', '94610', '31180', '94510', '8280', '31270', '94590', '376870', '31170', '31190', '31240', '330830', '8340', '8350']"
-Azsael-,496,The Witcher Trilogy,3,1,2,0.3333333333333333,"['20900', '20920']"
-Azsael-,535,Frozenbyte Collection 2016,6,1,5,0.16666666666666666,"['425210', '11200', '319910', '2500', '35700']"
-Azsael-,536,"Borderlands ""Take Over Your Life Bundle""",8,3,5,0.375,"['8990', '65920', '40940', '330830', '50110']"
-Azsael-,547,Trinelogy,3,1,2,0.3333333333333333,"['319910', '35700']"
-Azsael-,570,BioShock Triple Pack,3,2,1,0.6666666666666666,['8850']
-Azsael-,571,Sid Meier's Civilization Anthology,5,2,3,0.4,"['65980', '3900,3990,8800,16810', '353830']"
-Azsael-,612,The Elder Scrolls V: Skyrim + Add-Ons,4,1,3,0.25,"['211720', '220760', '226880']"
-Azsael-,655,Headup Games Complete,32,2,30,0.0625,"['319850', '250460', '303260', '369180', '391080', '293600', '46400', '406940', '251430', '338320', '405050', '419080', '433840', '336030', '277510', '261720', '46540', '46440', '279990', '378490', '264730', '363940', '284040', '310850', '363960', '265120', '305500', '388420', '400770', '315320']"
-Azsael-,664,Half-Life Complete,8,2,6,0.25,"['280,360', '130', '70', '20', '380,320', '50']"
-Azsael-,665,Valve Complete Pack,19,6,13,0.3157894736842105,"['300', '240', '280,360', '50', '40', '60', '130', '70', '20', '30', '380,320', '10,80', '730']"
-Azsael-,682,Source Multiplayer Pack,3,1,2,0.3333333333333333,"['240', '300']"
-Azsael-,683,Ultimate Action Duo Pack: Just Cause 3 + Rise of the Tomb Raider,2,1,1,0.5,['225540']
-Azsael-,704,Borderlands Triple Pack,7,3,4,0.42857142857142855,"['8990', '65920', '40940', '50110']"
-Azsael-,736,Galactic Civilizations III Gold,11,1,10,0.09090909090909091,"['390740', '455460', '420030', '389930', '495370', '373980', '395990', '411650', '484860', '495371']"
-Beave-,665,Valve Complete Pack,19,1,18,0.05263157894736842,"['620', '300', '420', '240', '280,360', '400', '40', '60', '500', '130', '220', '70', '50', '20', '30', '380,320', '10,80', '730']"
-Beave-,667,Left 4 Dead Bundle,2,1,1,0.5,['500']
-Encore-,366,Supergiant Collection,4,2,2,0.5,"['107104', '299240']"
-Encore-,468,Ultimate Chicken Horse - Soundtrack Edition,2,1,1,0.5,['493070']
-Encore-,665,Valve Complete Pack,19,2,17,0.10526315789473684,"['300', '420', '240', '280,360', '400', '40', '60', '500', '130', '220', '70', '550', '20', '30', '380,320', '10,80', '50']"
-Encore-,668,Portal Bundle,2,1,1,0.5,['400']
-Encore-,676,Counter-Strike Complete,3,1,2,0.3333333333333333,"['240', '10,80']"
-Encore-,761,World of Magicka Bundle,28,1,27,0.03571428571428571,"['73119', '73095', '73097', '393831', '73058', '42918', '73037', '73091', '73033', '73035', '73115', '73054', '73036', '73031', '73093', '73120', '266740', '73098', '73057', '238370', '393830', '73092', '73096', '73030', '414651', '73039', '255980']"
-GM-Dragon,664,Half-Life Complete,8,4,4,0.5,"['380,320', '220', '420', '280,360']"
-GM-Dragon,665,Valve Complete Pack,19,9,10,0.47368421052631576,"['620', '420', '240', '400', '280,360', '500', '220', '550', '380,320', '10,80']"
-GM-Dragon,670,Counter-Strike 1 Anthology,4,3,1,0.75,"['10,80']"
-GM-Dragon,676,Counter-Strike Complete,3,1,2,0.3333333333333333,"['240', '10,80']"
-GM-Dragon,682,Source Multiplayer Pack,3,2,1,0.6666666666666666,['240']
-GM-Dragon,761,World of Magicka Bundle,28,1,27,0.03571428571428571,"['73119', '73095', '73097', '393831', '73058', '42918', '73037', '73091', '73033', '73035', '73115', '73054', '73036', '73031', '73093', '73120', '266740', '73098', '73057', '238370', '393830', '73092', '73096', '73030', '414651', '73039', '255980']"
-I_AM_EPIC-,536,"Borderlands ""Take Over Your Life Bundle""",8,1,7,0.125,"['8990', '49520', '65920', '40940', '8980', '330830', '50110']"
-I_AM_EPIC-,664,Half-Life Complete,8,1,7,0.125,"['420', '280,360', '130', '70', '20', '380,320', '50']"
-I_AM_EPIC-,665,Valve Complete Pack,19,1,18,0.05263157894736842,"['620', '420', '300', '240', '280,360', '400', '40', '60', '500', '130', '50', '70', '550', '20', '30', '380,320', '10,80', '730']"
-I_AM_EPIC-,704,Borderlands Triple Pack,7,1,6,0.14285714285714285,"['8990', '49520', '65920', '40940', '8980', '50110']"
-I_AM_EPIC-,765,Don't Starve MEGA PACK,4,2,2,0.5,"['393010', '282470']"
-JT,448,tinyBuild Mega 2016 Bundle,5,1,4,0.2,"['394310', '368730', '356570', '403940']"
-JT,624,Killing Floor 1 Complete Your Set!,22,1,21,0.045454545454545456,"['35425', '35417', '210934', '210932', '210937', '210943', '1256', '258751', '309990', '1257', '210944', '210936', '258752', '210933', '35419', '210945', '210938', '309991', '210931', '258750', '35429']"
-JT,627,Tripwire Complete Bundle,27,1,26,0.037037037037037035,"['35425', '35417', '35460', '35480', '210934', '210932', '210937', '232090', '210943', '1256', '258751', '309990', '1257', '234510', '210944', '210936', '258752', '210933', '1200', '35419', '210945', '210938', '309991', '210931', '258750', '35429']"
-JT,665,Valve Complete Pack,19,2,17,0.10526315789473684,"['620', '300', '420', '240', '280,360', '400', '40', '60', '500', '130', '220', '70', '20', '30', '380,320', '10,80', '50']"
-JT,667,Left 4 Dead Bundle,2,1,1,0.5,['500']
-JT,676,Counter-Strike Complete,3,1,2,0.3333333333333333,"['240', '10,80']"
-JT,765,Don't Starve MEGA PACK,4,2,2,0.5,"['393010', '282470']"
-JT,869,SpeedRunners Deluxe Pack,3,1,2,0.3333333333333333,"['317480', '317490']"
-Kenny,1271,New World Collection,2,1,1,0.5,['447820']
-Kenny,17,Daedalic Adventure Bundle II,5,1,4,0.2,"['339190', '203830', '327220', '105000']"
-Kenny,364,Eidos Anthology,88,7,81,0.07954545454545454,"['216416', '225020', '35135', '28000', '265191', '6850', '208792', '208799', '225320', '224920', '208812', '35136', '35130', '208797', '8170', '208809', '8000', '216421', '216414', '216411', '242960', '211740', '208813', '203140', '208790', '208795', '7000', '216412', '208808', '208791', '35101', '208800', '35138', '28010', '224960', '208793', '216413', '216415', '208806', '216420', '6870', '265192', '208811', '35091', '35089', '28011', '318871', '208817', '208807', '35102', '289690', '208818', '318872', '35080', '216418', '208796', '28012', '211600', '8140', '208814', '6980', '6900', '239160', '35137', '224940', '208810', '224300', '247430', '6860', '216417', '225000', '225300', '224980', '216419', '35090', '208798', '35083', '259900', '265193', '8080', '318870']"
-Kenny,366,Supergiant Collection,4,2,2,0.5,"['107104', '299240']"
-Kenny,451,Rainbow Six Bundle,5,1,4,0.2,"['15120', '13540', '15000', '19830']"
-Kenny,496,The Witcher Trilogy,3,1,2,0.3333333333333333,"['292030', '20920']"
-Kenny,533,Rebellion Anthology,35,1,34,0.02857142857142857,"['397350', '63398', '3720', '305181', '305185', '305184', '210561', '247910', '305186', '3730', '227100', '63399', '7020', '305187', '254820', '305180', '3710', '254880', '312740', '222021', '326431', '254840', '238090', '404040', '312690', '254920', '326430', '254860', '305183', '63380', '305182', '312680', '3700', '281940']"
-Kenny,536,"Borderlands ""Take Over Your Life Bundle""",8,2,6,0.25,"['8990', '261640', '65920', '40940', '330830', '50110']"
-Kenny,570,BioShock Triple Pack,3,1,2,0.3333333333333333,"['8850', '7670']"
-Kenny,612,The Elder Scrolls V: Skyrim + Add-Ons,4,1,3,0.25,"['211720', '220760', '226880']"
-Kenny,624,Killing Floor 1 Complete Your Set!,22,1,21,0.045454545454545456,"['35425', '35417', '210934', '210932', '210937', '210943', '1256', '258751', '309990', '1257', '210944', '210936', '258752', '210933', '35419', '210945', '210938', '309991', '210931', '258750', '35429']"
-Kenny,627,Tripwire Complete Bundle,27,2,25,0.07407407407407407,"['35425', '35417', '35460', '35480', '210934', '210932', '210937', '232090', '210943', '1256', '258751', '309990', '1257', '234510', '210944', '210936', '258752', '210933', '35419', '210945', '210938', '309991', '210931', '258750', '35429']"
-Kenny,665,Valve Complete Pack,19,3,16,0.15789473684210525,"['300', '420', '240', '280,360', '400', '40', '60', '500', '130', '220', '70', '20', '30', '380,320', '10,80', '50']"
-Kenny,667,Left 4 Dead Bundle,2,1,1,0.5,['500']
-Kenny,668,Portal Bundle,2,1,1,0.5,['400']
-Kenny,676,Counter-Strike Complete,3,1,2,0.3333333333333333,"['240', '10,80']"
-Kenny,704,Borderlands Triple Pack,7,2,5,0.2857142857142857,"['8990', '261640', '65920', '40940', '50110']"
-Kenny,752,Amplitude Endless Pack,12,1,11,0.08333333333333333,"['374500', '415710', '297650', '451050', '357360', '241430', '289130', '208140', '407200', '415700', '268080']"
-Kenny,782,The Banner Saga Deluxe Pack,4,1,3,0.25,"['272100', '281640', '425440']"
-KillZone-,1225,Risen Franchise Pack,9,1,8,0.1111111111111111,"['40300', '249270', '249230', '40392', '249250', '249290', '40393', '40391']"
-KillZone-,1271,New World Collection,2,1,1,0.5,['447820']
-KillZone-,145,Talisman - 3 Game Bundle,3,1,2,0.3333333333333333,"['247000', '358460']"
-KillZone-,270,EA Racing Pack,5,1,4,0.2,"['17430', '47920', '24870', '24740']"
-KillZone-,376,Sid Meier's Civilization V: Complete,16,1,15,0.0625,"['16863', '235580', '16866', '99611', '99610', '99614', '16870', '16862', '99612', '235584', '235585', '16867', '16860', '16861', '16868']"
-KillZone-,533,Rebellion Anthology,35,1,34,0.02857142857142857,"['397350', '63398', '3720', '305181', '305185', '305184', '210561', '301640', '247910', '305186', '3730', '227100', '63399', '7020', '305187', '254820', '305180', '3710', '254880', '312740', '222021', '326431', '254840', '238090', '404040', '312690', '254920', '326430', '254860', '305183', '305182', '312680', '3700', '281940']"
-KillZone-,535,Frozenbyte Collection 2016,6,2,4,0.3333333333333333,"['2500', '319910', '425210', '11200']"
-KillZone-,536,"Borderlands ""Take Over Your Life Bundle""",8,1,7,0.125,"['8990', '261640', '65920', '40940', '8980', '330830', '50110']"
-KillZone-,547,Trinelogy,3,2,1,0.6666666666666666,['319910']
-KillZone-,571,Sid Meier's Civilization Anthology,5,1,4,0.2,"['65980', '3910', '3900,3990,8800,16810', '353830']"
-KillZone-,664,Half-Life Complete,8,2,6,0.25,"['280,360', '130', '70', '20', '380,320', '50']"
-KillZone-,665,Valve Complete Pack,19,9,10,0.47368421052631576,"['280,360', '40', '60', '130', '70', '20', '30', '380,320', '10,80', '50']"
-KillZone-,676,Counter-Strike Complete,3,2,1,0.6666666666666666,"['10,80']"
-KillZone-,704,Borderlands Triple Pack,7,1,6,0.14285714285714285,"['8990', '261640', '65920', '40940', '8980', '50110']"
-Mad-,1107,PopCap Power Pack,23,1,22,0.043478260869565216,"['3540', '3400', '3350', '3450', '3410', '3340', '3480', '3380', '3560', '3360', '3390', '3580', '3310', '3590', '3620', '3460', '3420', '3330', '3320', '3300', '3440', '3430']"
-Mad-,1114,Dead Rising Triple Pack,3,1,2,0.3333333333333333,"['45770', '427190']"
-Mad-,1116,SUPERFIGHT - The Super Bundle,9,1,8,0.1111111111111111,"['476352', '476351', '440500', '474930', '460840', '476350', '460830', '441610']"
-Mad-,1225,Risen Franchise Pack,9,2,7,0.2222222222222222,"['249270', '249230', '40392', '249250', '249290', '40393', '40391']"
-Mad-,1282,Thomas Was Alone + Volume,2,1,1,0.5,['365770']
-Mad-,1340,BioWare Bundle,4,1,3,0.25,"['17460', '47810', '7110']"
-Mad-,1420,2016 Capcom Collector's Bundle,37,1,36,0.02702702702702703,"['235210', '234210', '381712', '353050', '21640', '221040', '450001', '339340', '381713', '233920', '223792', '45775', '45773', '236570', '232590', '45776', '390340', '353052', '353051', '234250', '234230', '223790', '233940', '220440', '233960', '450000', '45770', '232570', '381711', '232550', '353053', '45774', '226720', '381710', '232530', '223793']"
-Mad-,1437,Dead Rising Collector's Pack,12,1,11,0.08333333333333333,"['45770', '45776', '353053', '353052', '45774', '353050', '45775', '45773', '353051', '265550', '427190']"
-Mad-,263,Bad Company 2 Bundle,3,1,2,0.3333333333333333,"['24963', '47880']"
-Mad-,364,Eidos Anthology,88,4,84,0.045454545454545456,"['216416', '225020', '35135', '28000', '265191', '6850', '208792', '208799', '225320', '224920', '208812', '35136', '35130', '208797', '8170', '208809', '8000', '216421', '216414', '216411', '242960', '238010', '211740', '208813', '208790', '208795', '7000', '216412', '208808', '208791', '35101', '208800', '35138', '28010', '224960', '208793', '216413', '216415', '208806', '216420', '6870', '265192', '208811', '35091', '35089', '28011', '318871', '208817', '208807', '35102', '289690', '208818', '6880', '318872', '258180', '35080', '216418', '208796', '28012', '211600', '8140', '208814', '6980', '6900', '239160', '6910', '35137', '224940', '208810', '224300', '247430', '216417', '225000', '225300', '224980', '216419', '35090', '208798', '35083', '259900', '265193', '8080', '318870', '6920']"
-Mad-,366,Supergiant Collection,4,2,2,0.5,"['107104', '299240']"
-Mad-,376,Sid Meier's Civilization V: Complete,16,1,15,0.0625,"['16863', '235580', '16866', '99611', '99610', '99614', '16870', '16862', '99612', '235584', '235585', '16867', '16860', '16861', '16868']"
-Mad-,384,Devolver Digital First-Person Shooter Bundle,3,2,1,0.6666666666666666,['407810']
-Mad-,394,Double Fine Bundle,17,4,13,0.23529411764705882,"['368190', '225270', '388210', '316790', '3838', '332460', '3839', '115120', '246070', '246110', '246090', '271950', '232790']"
-Mad-,448,tinyBuild Mega 2016 Bundle,5,1,4,0.2,"['207140', '394310', '356570', '403940']"
-Mad-,462,Assassin's Creed Bundle,4,1,3,0.25,"['289650', '368500', '311560']"
-Mad-,482,Telltale Collection,48,29,19,0.6041666666666666,"['201830', '456630', '207620', '429570', '8380', '330840', '31210', '8360', '8230', '8330', '8370', '31200', '31180', '376870', '31170', '31190', '330830', '8340', '8350']"
-Mad-,496,The Witcher Trilogy,3,2,1,0.6666666666666666,['292030']
-Mad-,533,Rebellion Anthology,35,1,34,0.02857142857142857,"['397350', '63398', '3720', '305181', '305185', '305184', '210561', '301640', '247910', '305186', '3730', '227100', '63399', '7020', '305187', '254820', '305180', '3710', '254880', '312740', '222021', '326431', '254840', '238090', '404040', '312690', '254920', '326430', '254860', '305183', '305182', '312680', '3700', '281940']"
-Mad-,535,Frozenbyte Collection 2016,6,2,4,0.3333333333333333,"['2500', '319910', '425210', '11200']"
-Mad-,536,"Borderlands ""Take Over Your Life Bundle""",8,2,6,0.25,"['8990', '261640', '65920', '40940', '330830', '50110']"
-Mad-,547,Trinelogy,3,2,1,0.6666666666666666,['319910']
-Mad-,570,BioShock Triple Pack,3,2,1,0.6666666666666666,['8850']
-Mad-,571,Sid Meier's Civilization Anthology,5,2,3,0.4,"['65980', '3900,3990,8800,16810', '353830']"
