item_idx,item_id,num_owners,popularity_rank,popularity_score
76,10700,38,5896,0.0007665772326561902
77,107000,7,10975,0.00014121159548929817
78,107100,6834,2144,0.13786286336769482
79,107200,1904,10613,0.0384095539730891
80,107300,1598,5720,0.032236589941699784
81,107310,1761,10860,0.03552480280809344
82,107400,511,1031,0.010308446470718767
83,107410,7758,479,0.15650279397228217
84,107430,324,6353,0.006536079562647516
85,107600,360,7745,0.007262310625163906
86,107800,1089,10854,0.021968489641120817
87,107900,2172,952,0.043815940771822236
88,108100,64,1354,0.0012910774444735834
89,108110,146,1614,0.002945270420205362
90,108200,582,10806,0.011740735510681648
91,108210,208,1,0.004196001694539146
92,108500,904,429,0.018236468903189366
93,108600,2308,1230,0.0465594803413286
94,108700,284,2348,0.005729156159851526
95,108710,3705,5277,0.07474128018397853
96,108800,7597,507,0.15325492727602832
97,109200,21,9753,0.00042363478646789454
98,109400,2160,417,0.04357386375098344
99,109410,175,2311,0.0035302898872324544
100,109500,121,10580,0.0024409432934578684
101,109600,7248,7682,0.1462145205866333
102,109700,51,920,0.0010288273385648868
103,11020,3292,2304,0.06640979605010994
104,11040,146,4919,0.002945270420205362
105,110400,198,424,0.003994270843840148
106,11050,96,6794,0.001936616166710375
107,110500,139,139,0.002804058824716064
108,11060,13,2345,0.00026225010590869664
109,110600,109,889,0.0021988662726190717
110,110610,91,461,0.0018357507413608763
111,110630,86,455,0.0017348853160113777
112,110800,3550,180,0.07161445199814408
113,111000,12,1118,0.00024207702083879688
114,111010,13,1033,0.00026225010590869664
115,111100,359,1507,0.007242137540094007
116,11120,13,83,0.00026225010590869664
117,11130,204,10716,0.004115309354259547
118,111300,18,3564,0.0003631155312581953
119,11140,162,531,0.003268039781323758
120,111400,650,9965,0.013112505295434831
121,11150,145,3555,0.002925097335135462
122,111600,1367,96,0.027576607290552946
123,11170,74,9191,0.0014928082951725808
124,11180,158,477,0.0031873474410441588
125,111800,933,750,0.018821488370216456
126,11190,159,478,0.0032075205261140587
127,111900,2225,10919,0.04488511428052692
128,11200,1042,1106,0.02102035464283553
129,112100,493,101,0.009945330939460572
130,11230,234,356,0.0047205019063565395
131,11240,560,691,0.011296927639143854
132,11250,158,1783,0.0031873474410441588
133,11260,134,1578,0.002703193399366565
134,11280,557,715,0.011236408383934155
135,113020,6246,647,0.12600108934659376
136,113200,11400,5161,0.22997316979685703
137,11330,513,1008,0.010348792640858567
138,11340,492,1373,0.009925157854390671
139,113400,8232,9864,0.16606483629541466
140,113420,3859,1445,0.0778479352847431
141,11360,509,963,0.010268100300578967
142,11370,348,1069,0.00702023360432511
143,11390,1768,78,0.03566601440358274
144,113900,212,1312,0.004276694034818744
145,11420,256,10696,0.005164309777894334
146,11440,172,2583,0.0034697706320227554
147,11450,2802,558,0.05652498436585907
148,11480,124,1007,0.002501462548667568
149,11500,122,5409,0.0024611163785277683
150,115100,1301,3735,0.026245183675939563
151,115110,1198,1220,0.024167355913739887
152,115120,412,10158,0.008311311048798693
153,11520,23,610,0.000463980956607694
154,115200,147,880,0.0029654435052752616
155,115210,158,10718,0.0031873474410441588
156,115220,129,1297,0.0026023279740170664
157,115320,1122,566,0.022634201448427507
158,11550,24,10354,0.00048415404167759376
159,11560,103,1386,0.002077827762199673
160,11590,504,1456,0.01016723487522947
161,11610,1950,10899,0.03933751588630449
162,116100,157,1426,0.003167174355974259
163,116120,157,405,0.003167174355974259
164,11900,55,6992,0.0011095196788444856
165,11920,28,10157,0.0005648463819571927
166,1200,1790,135,0.03610982227512054
167,1210,2,340,4.034617013979948e-05
168,12100,2510,10269,0.050634443525448346
169,12110,3359,232,0.06776139274979323
170,12120,5561,1623,0.11218252607371246
171,12130,95,293,0.0019164430816404753
172,12140,1370,9731,0.027637126545762645
173,12150,1392,9724,0.02808093441730044
174,12160,476,1424,0.009602388493272275
175,12170,797,19,0.016077948800710094
176,12180,797,18,0.016077948800710094
177,12190,11,644,0.00022190393576889715
178,12200,3139,3972,0.06332331403441528
179,12210,10024,999,0.202215004740675
180,12220,7874,1997,0.15884287184039056
181,12230,2510,10879,0.050634443525448346
182,12240,3359,10587,0.06776139274979323
183,12250,5556,8246,0.11208166064836296
184,12260,5,8248,0.0001008654253494987
185,1230,1790,4804,0.03610982227512054
186,12300,7,170,0.00014121159548929817
187,12310,58,183,0.0011700389340541849
188,12320,248,826,0.005002925097335136
189,12330,166,3821,0.003348732121603357
190,12340,74,1678,0.0014928082951725808
191,12360,674,919,0.013596659337112425
192,12370,88,1366,0.0017752314861511772
193,12380,88,7783,0.0017752314861511772
194,12390,44,4780,0.0008876157430755886
195,12400,4,592,8.069234027959896e-05
196,12420,56,540,0.0011296927639143854
197,12430,48,8668,0.0009683080833551875
198,12440,64,8485,0.0012910774444735834
199,12450,51,10577,0.0010288273385648868
200,12460,89,10569,0.0017954045712210767
201,12470,134,4914,0.002703193399366565
202,12480,105,3145,0.0021181739323394727
203,1250,14216,781,0.2867805773536947
204,12500,186,1261,0.0037521938230013516
205,12510,114,1383,0.0022997316979685703
206,12520,131,548,0.002642674144156866
207,12530,88,10695,0.0017752314861511772
208,12540,31,463,0.000625365637166892
209,12550,8,777,0.00016138468055919793
210,12560,107,3003,0.002158520102479272
211,12570,29,5649,0.0005850194670270924
212,12580,36,632,0.0007262310625163906
213,12590,88,8243,0.0017752314861511772
214,12600,96,8242,0.001936616166710375
215,12630,12,3168,0.00024207702083879688
216,12640,130,698,0.002622501059086966
217,12650,3,9211,6.051925520969922e-05
218,12660,3,1098,6.051925520969922e-05
219,12670,32,1036,0.0006455387222367917
220,12690,114,1636,0.0022997316979685703
221,12710,2135,2022,0.043069536624235946
222,12750,2169,2514,0.04375542151661253
223,12770,1042,1835,0.02102035464283553
224,12790,200,5349,0.004034617013979948
225,1280,1790,10709,0.03610982227512054
226,12800,436,3450,0.008795465090476287
227,12810,2369,10221,0.04779003853059249
228,12830,1929,957,0.038913881099836595
229,12840,839,717,0.01692521837364588
230,12860,34,8111,0.0006858848923765911
231,12900,4560,7013,0.09198926791874282
232,130,6206,1698,0.12519416594379779
233,1300,171,645,0.0034495975469528554
234,13000,48,1353,0.0009683080833551875
235,1309,171,63,0.0034495975469528554
236,1313,171,28,0.0034495975469528554
237,13140,1378,10711,0.02779851122632184
238,1320,1,47,2.017308506989974e-05
239,13200,941,326,0.018982873050775655
240,13210,1754,1213,0.03538359121260414
241,13230,1294,231,0.026103972080450264
242,13240,1140,2528,0.022997316979685704
243,13250,950,10273,0.019164430816404752
244,13500,449,3279,0.009057715196384984
245,13510,383,1075,0.0077262915817716
246,13520,3189,992,0.06433196828791027
247,13530,461,10608,0.00929979221722378
248,13540,677,10186,0.013657178592322124
249,13560,517,1641,0.010429484981138165
250,13570,655,1178,0.01321337072078433
251,13580,508,1834,0.010247927215509068
252,13600,592,8017,0.011942466361380646
253,13620,340,51,0.006858848923765912
254,13630,342,575,0.006899195093905711
255,13640,349,1190,0.007040406689395009
256,13700,35,1189,0.0007060579774464909
257,1500,1927,760,0.0388735349296968
258,15000,228,2887,0.0045994633959371405
259,15060,15,6950,0.0003025962760484961
260,15080,29,4813,0.0005850194670270924
261,1510,2085,1340,0.04206088237074096
262,15100,2092,401,0.04220209396623026
263,15120,970,1212,0.01956789251780275
264,15130,364,1444,0.007343002965443505
265,15140,9,1321,0.00018155776562909766
266,15150,24,9687,0.00048415404167759376
267,15160,17,483,0.00034294244618829556
268,15170,448,5941,0.009037542111315083
269,15190,264,1531,0.005325694458453531
270,1520,2521,9605,0.05085634746121724
271,15200,100,8,0.002017308506989974
272,15210,133,4141,0.0026830203142966655
273,15220,34,5815,0.0006858848923765911
274,15230,39,824,0.0007867503177260898
275,15240,64,749,0.0012910774444735834
276,15270,32,1264,0.0006455387222367917
277,15280,4,9125,8.069234027959896e-05
278,15290,3,1592,6.051925520969922e-05
279,1530,1858,1452,0.03748159205987372
280,15300,398,10708,0.008028887857820096
281,15310,31,5326,0.000625365637166892
282,15320,512,559,0.010328619555788668
283,15330,1,2208,2.017308506989974e-05
284,15350,4,9698,8.069234027959896e-05
285,15370,369,10697,0.007443868390793004
286,15380,356,140,0.007181618284884307
287,15390,304,534,0.006132617861249521
288,15400,113,6591,0.0022795586128986707
289,15500,435,4617,0.008775292005406388
290,15520,512,732,0.010328619555788668
291,15540,368,348,0.007423695305723104
292,15560,913,1054,0.018418026668818463
293,15620,6055,743,0.12214803009824292
294,15700,3044,1064,0.061406870952774806
295,15710,1434,7875,0.028928203990236226
296,15740,939,1414,0.018942526880635857
297,15750,915,10606,0.01845837283895826
298,15800,1,1662,2.017308506989974e-05
299,15900,46,795,0.000927961913215388
300,15910,27,95,0.0005446732968872929
301,15920,39,1412,0.0007867503177260898
302,15930,59,501,0.0011902120191240846
303,15940,8,8404,0.00016138468055919793
304,15950,67,413,0.0013515966996832825
305,15960,74,1541,0.0014928082951725808
306,15970,27,707,0.0005446732968872929
307,15980,8,702,0.00016138468055919793
308,15990,24,694,0.00048415404167759376
309,1600,115,1986,0.0023199047830384702
310,16000,57,4296,0.0011498658489842851
311,16020,42,9867,0.0008472695729357891
312,16030,42,1371,0.0008472695729357891
313,16040,32,10702,0.0006455387222367917
314,16060,30,112,0.0006051925520969922
315,16090,2,4419,4.034617013979948e-05
316,1610,142,10713,0.002864578079925763
317,16100,31,4012,0.000625365637166892
318,16110,24,9249,0.00048415404167759376
319,16120,28,929,0.0005648463819571927
320,16130,36,565,0.0007262310625163906
321,16180,32,1370,0.0006455387222367917
322,16200,7,597,0.00014121159548929817
323,1630,164,3167,0.0033083859514635573
324,16300,101,10712,0.0020374815920598736
325,1640,196,2576,0.003953924673700349
326,16450,4599,10909,0.0927760182364689
327,16480,1,908,2.017308506989974e-05
328,16500,9,947,0.00018155776562909766
329,16600,269,10895,0.00542655988380303
330,16620,46,4652,0.000927961913215388
331,1670,130,3483,0.002622501059086966
332,16700,777,169,0.015674487099312098
333,16710,352,182,0.007100925944604709
334,16720,615,1351,0.01240644731798834
335,16730,1035,10609,0.02087914304734623
336,16810,2885,3982,0.05819935042666075
337,1690,157,456,0.003167174355974259
338,1700,234,10605,0.0047205019063565395
339,17020,771,103,0.0155534485888927
340,17080,6240,2539,0.12588005083617437
341,17100,83,10897,0.0016743660608016784
342,17120,68,7341,0.0013717697847531823
343,17140,68,355,0.0013717697847531823
344,17180,15,734,0.0003025962760484961
345,17300,2520,3997,0.05083617437614735
346,17330,1648,3387,0.03324524419519477
347,17340,1648,10572,0.03324524419519477
348,17390,3828,7931,0.0772225696475762
349,17400,1,1245,2.017308506989974e-05
350,17410,10846,246,0.2187972806681326
351,17420,1,6949,2.017308506989974e-05
352,17430,1070,4848,0.021585201024792722
353,17440,1582,1378,0.03191382058058139
354,17450,1763,524,0.03556514897823324
355,17460,3264,1010,0.06584494966815276
356,17470,7243,1663,0.14611365516128383
357,17480,1553,178,0.031328801113554294
358,17570,1752,2092,0.03534324504246435
359,17580,577,1498,0.01163987008533215
360,17600,6,6979,0.00012103851041939844
361,17710,1504,4024,0.03034031994512921
362,17800,24,6596,0.00048415404167759376
363,17810,22,5404,0.0004438078715377943
364,18000,665,5091,0.013415101571483326
365,18020,578,1583,0.01166004317040205
366,18040,372,294,0.007504387646002703
367,18050,293,1758,0.005910713925480624
368,18070,433,2697,0.008734945835266588
369,18100,9,3977,0.00018155776562909766
370,18110,609,10845,0.012285408807568942
371,18120,220,475,0.0044380787153779425
372,18300,216,492,0.004357386375098343
373,18400,368,2122,0.007423695305723104
374,18420,147,3106,0.0029654435052752616
375,18430,1,1520,2.017308506989974e-05
376,18450,132,1207,0.0026628472292267655
377,18460,132,10958,0.0026628472292267655
378,18470,96,5061,0.001936616166710375
379,18480,98,10903,0.0019769623368501746
380,18490,254,7758,0.005123963607754534
381,18500,1331,984,0.026850376228036554
382,18600,24,1320,0.00048415404167759376
383,18700,1030,977,0.020778277621996733
384,18820,378,3698,0.007625426156422101
385,1900,588,989,0.011861774021101047
386,19000,145,2167,0.002925097335135462
387,19020,26,2736,0.0005245002118173933
388,19030,23,1511,0.000463980956607694
389,19080,6,4854,0.00012103851041939844
390,19090,12,10852,0.00024207702083879688
391,1920,13,1296,0.00026225010590869664
392,19200,438,1889,0.008835811260616087
393,1930,1598,336,0.032236589941699784
394,19320,31,4852,0.000625365637166892
395,19500,47,7306,0.0009481349982852878
396,19680,1191,1427,0.02402614431825059
397,19800,244,3816,0.004922232757055537
398,19810,6,3261,0.00012103851041939844
399,19830,340,1375,0.006858848923765912
400,19840,340,3117,0.006858848923765912
401,19900,4144,9722,0.08359726452966453
402,19930,64,938,0.0012910774444735834
403,19980,570,1658,0.011498658489842852
404,19990,4,4424,8.069234027959896e-05
405,20,6334,1252,0.12777632083274496
406,200010,1190,3039,0.02400597123318069
407,200020,117,3105,0.0023602509531782698
408,200050,172,10752,0.0034697706320227554
409,200060,34,147,0.0006858848923765911
410,200080,24,742,0.00048415404167759376
411,200130,126,866,0.0025418087188073674
412,200150,21,10849,0.00042363478646789454
413,200170,3607,3686,0.07276431784712836
414,200190,199,3449,0.004014443928910048
415,200210,12105,2375,0.24419519477113635
416,200230,205,650,0.004135482439329446
417,200260,8663,651,0.17475943596054144
418,200330,1695,2197,0.03419337919348006
419,200350,142,2715,0.002864578079925763
420,200370,377,1336,0.007605253071352202
421,200390,1257,1367,0.025357567932863975
422,200410,192,584,0.00387323233342075
423,200490,57,8253,0.0011498658489842851
424,200510,8279,539,0.16701297129369994
425,200530,5,1243,0.0001008654253494987
426,200550,313,7376,0.0063141756268786185
427,200630,143,10900,0.0028847511649956626
428,200670,329,4596,0.006636944987997015
429,200710,8828,2175,0.1780879949970749
430,200900,1973,1793,0.03980149684291218
431,200910,482,1552,0.009723427003691675
432,200940,922,9730,0.01859958443444756
433,200960,245,3670,0.004942405842125437
434,200980,245,3866,0.004942405842125437
435,200990,245,5494,0.004942405842125437
436,201000,245,7523,0.004942405842125437
437,201010,245,915,0.004942405842125437
438,201020,74,933,0.0014928082951725808
439,201040,292,9769,0.005890540840410724
440,201070,94,8778,0.0018962699965705755
441,201190,237,1048,0.004781021161566239
442,201210,403,10689,0.008129753283169595
443,201230,749,10885,0.015109640717354905
444,201280,1723,6204,0.03475822557543725
445,201290,384,5520,0.0077464646668415
446,201310,653,10662,0.01317302455064453
447,201330,2,10714,4.034617013979948e-05
448,201420,942,1627,0.019003046135845556
449,201480,1390,10691,0.028040588247160637
450,201490,233,1143,0.0047003288212866395
451,201510,370,8751,0.007464041475862904
452,201570,2396,1025,0.048334711827479775
453,201700,1726,2114,0.03481874483064695
454,201760,297,2231,0.005991406265760222
455,201790,8051,799,0.1624135078977628
456,201810,3316,719,0.06689395009178754
457,201830,575,3737,0.011599523915192351
458,201870,2112,9173,0.04260555566762825
459,20200,3,270,6.051925520969922e-05
460,202070,84,345,0.0016945391458715782
461,202090,8075,807,0.16289766193944039
462,202130,366,168,0.007383349135583305
463,202170,5076,6936,0.10239857981481108
464,202200,1344,181,0.02711262633394525
465,202270,863,573,0.017409372415323476
466,202310,422,2949,0.00851304189949769
467,202370,26,629,0.0005245002118173933
468,202410,125,714,0.0025216356337374674
469,202530,824,2694,0.016622622097597385
470,202570,3,2741,6.051925520969922e-05
471,202670,9,1343,0.00018155776562909766
472,202690,36,7007,0.0007262310625163906
473,202710,682,10908,0.013758044017671623
474,202730,537,1443,0.01083294668253616
475,202750,3020,6481,0.06092271691109721
476,202860,136,1059,0.0027435395695063645
477,202970,7524,6563,0.15178229206592564
478,202990,7524,634,0.15178229206592564
479,203140,9016,3314,0.18188053499021606
480,203160,9692,2287,0.19551754049746828
481,203210,434,2094,0.008755118920336487
482,203250,349,500,0.007040406689395009
483,203290,4059,452,0.08188255229872304
484,203350,168,705,0.0033890782917431563
485,203510,294,9733,0.005930887010550523
486,203560,247,9014,0.004982752012265236
487,203630,2235,594,0.04508684513122592
488,203650,729,493,0.014706179015956911
489,203680,111,10821,0.002239212442758871
490,203730,749,227,0.015109640717354905
491,203750,1431,1379,0.028867684735026527
492,203770,3008,1090,0.06068063989025842
493,203810,2372,10699,0.04785055778580218
494,203830,323,3979,0.006515906477577616
495,203850,96,74,0.001936616166710375
496,203990,140,7028,0.0028242319097859635
497,20400,1,4089,2.017308506989974e-05
498,204030,1993,512,0.04020495854431018
499,204060,1710,1065,0.03449597546952855
500,204080,2405,1028,0.048516269593108875
501,204100,3636,1303,0.07334933731415545
502,204120,422,93,0.00851304189949769
503,204140,251,6450,0.005063444352544835
504,204180,1034,10726,0.02085896996227633
505,204220,875,1062,0.017651449436162273
506,204240,1255,4242,0.025317221762724173
507,204300,8700,789,0.17550584010812773
508,204340,2234,6091,0.04506667204615602
509,204360,11511,2693,0.2322123822396159
510,204390,78,10807,0.0015735006354521796
511,204440,91,487,0.0018357507413608763
512,204450,2324,508,0.046882249702447
513,204510,11,10571,0.00022190393576889715
514,204530,330,10717,0.006657118073066914
515,204560,949,6767,0.01914425773133485
516,204580,22,127,0.0004438078715377943
517,204630,1280,1347,0.025821548889471666
518,204760,38,3965,0.0007665772326561902
519,204840,85,1450,0.001714712230941478
520,204860,338,1049,0.006818502753626112
521,204880,2087,10928,0.042101228540880754
522,204940,187,2394,0.0037723669080712515
523,204960,70,778,0.0014121159548929818
524,20500,3170,1060,0.06394867967158217
525,205020,242,4920,0.004881886586915737
526,205060,274,87,0.005527425309152529
527,205070,230,10592,0.0046398095660769405
528,205080,254,222,0.005123963607754534
529,205090,175,8385,0.0035302898872324544
530,20510,1616,5392,0.03259970547295798
531,205100,7702,557,0.1553731012083678
532,205180,1,10946,2.017308506989974e-05
533,205190,234,3571,0.0047205019063565395
534,205230,3858,98,0.07782776219967319
535,205250,47,10880,0.0009481349982852878
536,205270,58,10875,0.0011700389340541849
537,20530,2143,5512,0.04323092130479514
538,205330,115,537,0.0023199047830384702
539,205350,2664,3740,0.05374109862621291
540,20540,5353,221,0.1079865243791733
541,20550,2048,5157,0.04131447822315467
542,205530,227,3001,0.0045792903108672406
543,205550,377,666,0.007605253071352202
544,205590,91,665,0.0018357507413608763
545,205610,403,2845,0.008129753283169595
546,205650,596,458,0.012023158701660245
547,205690,131,4858,0.002642674144156866
548,20570,5120,262,0.10328619555788666
549,205710,443,1486,0.008936676685965584
550,205730,764,1585,0.0154122369934034
551,205790,49571,521,1.0
552,205810,249,261,0.005023098182405035
553,205830,82,1573,0.0016541929757317787
554,205840,288,1487,0.005809848500131125
555,205870,192,1043,0.00387323233342075
556,205890,646,5972,0.013031812955155231
557,205910,2166,2209,0.04369490226140284
558,205930,6692,6636,0.13499828528776905
559,205950,3901,10568,0.07869520485767889
560,205990,125,541,0.0025216356337374674
561,206020,188,735,0.003792539993141151
562,206040,187,1057,0.0037723669080712515
563,206060,193,9221,0.0038934054184906496
564,206180,1,8768,2.017308506989974e-05
565,206190,3502,6210,0.07064614391478889
566,206210,6428,1056,0.12967259082931554
567,206230,5,623,0.0001008654253494987
568,206250,39,5081,0.0007867503177260898
569,206270,6,1416,0.00012103851041939844
570,206370,556,2936,0.011216235298864256
571,206410,109,6632,0.0021988662726190717
572,206420,9999,6510,0.2017106776139275
573,206440,2500,1988,0.05043271267474935
574,206480,1612,8006,0.03251901313267838
575,206500,4240,9673,0.0855338806963749
576,206610,211,498,0.004256520949748845
577,206690,657,864,0.013253716890924128
578,206740,48,5813,0.0009683080833551875
579,206760,382,10731,0.0077061184967017
580,206940,1,430,2.017308506989974e-05
581,206950,1,882,2.017308506989974e-05
582,206960,1,1473,2.017308506989974e-05
583,206970,1,2215,2.017308506989974e-05
584,206980,2667,2077,0.053801617881422605
585,20700,44,9734,0.0008876157430755886
586,207000,152,3100,0.0030663089306247606
587,207020,213,161,0.004296867119888644
588,207040,554,1109,0.011175889128724456
589,207060,6,7774,0.00012103851041939844
590,207080,1217,7780,0.024550644530067983
591,20710,90,1356,0.0018155776562909765
592,207140,5366,7003,0.10824877448508201
593,207150,331,228,0.006677291158136814
594,207170,2375,257,0.047911077041011885
595,207190,121,1451,0.0024409432934578684
596,207210,541,10715,0.010913639022815759
597,207230,3469,79,0.0699804321074822
598,207241,9,8609,0.00018155776562909766
599,207250,1016,1205,0.020495854431018135
600,207320,242,1589,0.004881886586915737
601,207350,503,923,0.010147061790159569
602,207370,261,4381,0.005265175203243832
603,207380,227,1872,0.0045792903108672406
604,207400,242,994,0.004881886586915737
605,207420,626,809,0.012628351253757237
606,207430,504,1653,0.01016723487522947
607,207490,519,279,0.010469831151277965
608,207530,153,26,0.00308648201569466
609,207570,1111,968,0.02241229751265861
610,207610,6545,4421,0.1320328417824938
611,207650,1426,1579,0.02876681930967703
612,207670,81,1170,0.001634019890661879
613,207690,1223,7482,0.02467168304048738
614,207710,39,10788,0.0007867503177260898
615,207730,267,10802,0.005386213713663231
616,207750,704,1259,0.014201851889209418
617,207790,104,6160,0.002098000847269573
618,207890,249,1148,0.005023098182405035
619,207930,1563,10922,0.031530531964253296
620,208030,392,185,0.007907849347400698
621,208090,16489,166,0.3326339997175768
622,208110,73,225,0.001472635210102681
623,208140,2025,759,0.04085049726654697
624,20820,970,6644,0.01956789251780275
625,208200,1469,1192,0.029634261967682717
626,20840,69,780,0.001391942869823082
627,208400,205,9232,0.004135482439329446
628,208460,65,143,0.001311250529543483
629,208480,2499,354,0.05041253958967945
630,208500,397,81,0.008008714772750197
631,208520,615,878,0.01240644731798834
632,208580,5008,1563,0.1010268100300579
633,208600,399,240,0.008049060942889995
634,208610,2436,358,0.04914163523027577
635,208620,80,4289,0.0016138468055919791
636,208630,85,2415,0.001714712230941478
637,208640,86,847,0.0017348853160113777
638,208650,1470,8774,0.029654435052752618
639,208670,511,33,0.010308446470718767
640,208710,45,5046,0.0009077888281454883
641,208730,1246,453,0.025135663997095076
642,208750,382,10604,0.0077061184967017
643,208860,31,444,0.000625365637166892
644,20900,5958,3352,0.12019124084646265
645,209000,4700,4752,0.09481349982852878
646,209060,288,6333,0.005809848500131125
647,209080,7122,1532,0.14367271186782596
648,209100,302,790,0.006092271691109721
649,209120,342,3656,0.006899195093905711
650,209160,2721,1281,0.054890964475197195
651,209170,2721,839,0.054890964475197195
652,209190,994,2010,0.02005204655948034
653,20920,9746,2262,0.19660688709124285
654,209230,72,1313,0.0014524621250327813
655,209270,1218,8261,0.024570817615137883
656,209330,543,499,0.010953985192955559
657,209340,58,3290,0.0011700389340541849
658,209360,126,8825,0.0025418087188073674
659,209370,375,2516,0.007564906901212402
660,209390,106,418,0.002138347017409372
661,209520,287,10745,0.005789675415061225
662,209540,1340,10054,0.02703193399366565
663,209610,136,1283,0.0027435395695063645
664,209630,131,9776,0.002642674144156866
665,209650,2128,10778,0.04292832502874665
666,209660,2128,5026,0.04292832502874665
667,209670,463,3488,0.00934013838736358
668,209690,440,1789,0.008876157430755885
669,209710,374,10783,0.007544733816142503
670,209730,1043,10784,0.02104052772790543
671,209750,129,2783,0.0026023279740170664
672,209790,680,5734,0.013717697847531823
673,209830,1521,10786,0.030683262391317506
674,209850,38,10789,0.0007665772326561902
675,209870,9776,4243,0.19721207964333987
676,209950,167,346,0.0033689052066732564
677,2100,1055,347,0.021282604748744226
678,21000,652,3368,0.013152851465574631
679,21010,110,4895,0.0022190393576889712
680,210150,89,4133,0.0017954045712210767
681,210170,408,940,0.008230618708519094
682,210230,2,791,4.034617013979948e-05
683,21030,94,2737,0.0018962699965705755
684,210350,9,10780,0.00018155776562909766
685,210390,57,4393,0.0011498658489842851
686,210410,4,530,8.069234027959896e-05
687,210430,2,1626,4.034617013979948e-05
688,210490,27,574,0.0005446732968872929
689,210550,148,4324,0.0029856165903451616
690,21070,6,906,0.00012103851041939844
691,210770,7205,4190,0.14534707792862764
692,21080,13,1214,0.00026225010590869664
693,210870,89,393,0.0017954045712210767
694,21090,3589,80,0.07240120231587016
695,210950,274,1001,0.005527425309152529
696,210970,210,8257,0.004236347864678945
697,210990,27,1047,0.0005446732968872929
698,21100,4942,808,0.09969538641544451
699,211010,134,990,0.002703193399366565
700,211050,320,353,0.0064553872223679165
701,211070,4,6893,8.069234027959896e-05
702,21110,3589,2086,0.07240120231587016
703,211120,240,1044,0.004841540416775938
704,211140,2,3401,4.034617013979948e-05
705,211160,2396,8797,0.048334711827479775
706,211180,220,1046,0.0044380787153779425
707,21120,3589,10963,0.07240120231587016
708,211260,575,1208,0.011599523915192351
709,211280,231,10910,0.00465998265114684
710,21130,497,3558,0.01002602327974017
711,211340,199,10913,0.004014443928910048
712,211360,784,10912,0.015815698694801397
713,211380,52,761,0.0010490004236347866
714,211400,2497,10911,0.05037219341953965
715,211420,7126,619,0.14375340420810553
716,211440,834,2380,0.016824352948296383
717,211500,4793,1105,0.09668959674002946
718,211580,621,1669,0.012527485828407738
